City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Marquette,US,2022-07-01 21:13:26,46.5333,-87.6335,74.64,53,24,8.37,few clouds
157,Villa Maria,AR,2022-07-01 21:13:27,-32.4075,-63.2402,62.82,61,59,12.77,broken clouds
158,Faanui,PF,2022-07-01 21:13:27,-16.4833,-151.75,78.76,69,3,21.23,clear sky
159,Lagoa,PT,2022-07-01 21:13:28,39.05,-27.9833,67.41,88,100,12.5,overcast clouds
160,Pitimbu,BR,2022-07-01 21:13:28,-7.4706,-34.8086,79.39,84,3,9.57,clear sky
161,Bartlesville,US,2022-07-01 21:13:29,36.7473,-95.9808,96.75,42,20,8.05,few clouds
162,Tiksi,RU,2022-07-01 21:13:29,71.6872,128.8694,41.58,72,99,5.57,overcast clouds
163,Salalah,OM,2022-07-01 21:13:30,17.0151,54.0924,80.6,79,61,11.27,broken clouds
164,Nelson Bay,AU,2022-07-01 21:13:30,-32.7167,152.15,55.99,99,100,8.99,light rain
165,Babstovo,RU,2022-07-01 21:13:31,48.1167,132.4833,66.97,93,100,2.84,light rain
166,Broken Hill,AU,2022-07-01 21:13:31,-31.95,141.4333,38.35,87,0,12.88,clear sky
167,Mogadishu,SO,2022-07-01 21:13:32,2.0371,45.3438,77.32,78,100,17.6,overcast clouds
168,Pontes E Lacerda,BR,2022-07-01 21:13:32,-15.2261,-59.3353,87.55,31,6,5.61,clear sky
169,Pirovskoye,RU,2022-07-01 21:13:32,57.6267,92.2658,57.33,69,100,3.91,overcast clouds
170,Nosy Varika,MG,2022-07-01 21:13:33,-20.5833,48.5333,68.77,77,80,6.22,light rain
171,Puerto Narino,CO,2022-07-01 21:13:33,-3.7703,-70.3831,82.8,67,100,0.74,overcast clouds
172,Amahai,ID,2022-07-01 21:13:34,-3.3333,128.9167,76.73,87,75,2.86,broken clouds
173,Roald,NO,2022-07-01 21:13:34,62.5833,6.1333,68.9,88,0,1.14,clear sky
174,Millet,CA,2022-07-01 21:13:35,53.1001,-113.4687,69.17,71,40,11.36,scattered clouds
175,Tromso,NO,2022-07-01 21:13:35,69.6496,18.957,70.38,56,0,5.75,clear sky
176,Kargasok,RU,2022-07-01 21:13:35,59.0556,80.8572,50.13,98,93,6.93,overcast clouds
177,Sola,VU,2022-07-01 21:13:36,-13.8833,167.55,80.11,77,65,21.77,light rain
178,Port Blair,IN,2022-07-01 21:13:36,11.6667,92.75,82.45,79,100,11.81,overcast clouds
179,Berbera,SO,2022-07-01 21:13:37,10.4396,45.0143,91.27,39,100,24.2,overcast clouds
180,Fort Nelson,CA,2022-07-01 21:13:37,58.8053,-122.7002,72.55,33,3,3.22,clear sky
181,Sobolevo,RU,2022-07-01 21:13:38,54.4299,31.8996,62.24,68,58,8.66,broken clouds
182,Roma,US,2022-07-01 21:12:02,43.2128,-75.4557,86.63,49,75,6.91,broken clouds
183,Kodiak,US,2022-07-01 21:13:38,57.79,-152.4072,54.91,88,100,13.8,mist
184,Dharchula,IN,2022-07-01 21:13:39,29.85,80.5333,72.64,95,99,1.95,overcast clouds
185,Miracema,BR,2022-07-01 21:13:39,-21.4122,-42.1967,68.77,68,0,4.25,clear sky
186,Port Hedland,AU,2022-07-01 21:13:40,-20.3167,118.5667,53.65,54,1,8.05,clear sky
187,Majene,ID,2022-07-01 21:13:40,-3.5403,118.9707,76.66,90,41,5.86,scattered clouds
188,Simao,CN,2022-07-01 21:13:41,22.7886,100.9748,64.54,97,100,1.57,overcast clouds
189,Narsaq,GL,2022-07-01 21:13:41,60.9167,-46.05,55.62,68,31,8.99,scattered clouds
190,Arklow,IE,2022-07-01 21:13:42,52.7931,-6.1414,58.08,94,89,14.18,light rain
191,Sandwick,GB,2022-07-01 21:13:42,60.0,-1.25,51.62,100,100,10.36,overcast clouds
192,Veracruz,MX,2022-07-01 21:08:58,19.3333,-96.6667,87.66,53,25,7.25,scattered clouds
193,Caborca,MX,2022-07-01 21:13:43,30.5838,-111.101,93.54,34,10,7.23,clear sky
194,Vila Franca Do Campo,PT,2022-07-01 21:13:44,37.7167,-25.4333,69.19,91,90,8.14,overcast clouds
195,Sorong,ID,2022-07-01 21:13:44,-0.8833,131.25,77.4,88,85,6.2,overcast clouds
196,Kavieng,PG,2022-07-01 21:13:45,-2.5744,150.7967,82.72,76,7,15.57,clear sky
