City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Robertsport,LR,76.95,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
519,Torbat-E Jam,IR,82.63,clear sky,35.244,60.6225,White building
521,Beyneu,KZ,76.55,broken clouds,45.3167,55.2,NUR
527,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Asterión Departamentos
529,Svobodnyy,RU,68.16,scattered clouds,51.4,128.1333,Alekseevskij Hotel
530,Shingu,JP,75.24,scattered clouds,33.7333,135.9833,Shingu UI Hotel
531,Bani Walid,LY,84.27,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
532,Ocos,GT,86.18,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
536,Minab,IR,87.31,clear sky,27.1467,57.0801,Bam campground
537,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
541,Faenza,IT,78.51,clear sky,44.2857,11.8833,Hotel Vittoria
542,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
543,Avesta,SE,69.13,clear sky,60.1455,16.1679,Avesta Stadshotell AB
544,Alor Setar,MY,78.78,few clouds,6.121,100.3601,Hotel ASRC
545,Koumac,NC,72.18,overcast clouds,-20.5667,164.2833,Le Monitel
546,Cermik,TR,79.61,clear sky,38.1361,39.4493,Çermik Öğretmen Evi
547,Kuwana,JP,81.16,overcast clouds,35.0667,136.7,Kuwana City Hotel
548,Vao,NC,71.44,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
551,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
552,Bonfim,BR,84.15,heavy intensity rain,3.0833,-59.95,
553,Monserrato,IT,80.06,clear sky,39.2561,9.1397,B&B IL Sole
554,Kailua,US,86.02,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
555,Hamina,FI,70.88,overcast clouds,60.5697,27.1979,SpaHotel Hamina
